Year,State,Category,Type,Vehicles
1900,Tennessee,Motorcycle,,0
1900,Texas,Auto,,180
1900,Texas,Bus,,0
1900,Texas,Truck,,0
1900,Texas,Motorcycle,,0
1900,Utah,Auto,,20
1900,Utah,Bus,,0
1900,Utah,Truck,,0
1900,Utah,Motorcycle,,0
1900,Vermont,Auto,,30
1900,Vermont,Bus,,0
1900,Vermont,Truck,,0
1900,Vermont,Motorcycle,,0
1900,Virginia,Auto,,40
1900,Virginia,Bus,,0
1900,Virginia,Truck,,0
1900,Virginia,Motorcycle,,0
1900,Washington,Auto,,130
1900,Washington,Bus,,0
1900,Washington,Truck,,0
1900,Washington,Motorcycle,,0
1900,West Virginia,Auto,,20
1900,West Virginia,Bus,,0
1900,West Virginia,Truck,,0
1900,West Virginia,Motorcycle,,0
1900,Wisconsin,Auto,,160
1900,Wisconsin,Bus,,0
1900,Wisconsin,Truck,,0
1900,Wisconsin,Motorcycle,,0
1900,Wyoming,Auto,,10
1900,Wyoming,Bus,,0
1900,Wyoming,Truck,,0
1900,Wyoming,Motorcycle,,0
1901,Alabama,Auto,,60
1901,Alabama,Bus,,0
1901,Alabama,Truck,,0
1901,Alabama,Motorcycle,,0
1901,Alaska,Auto,,0
1901,Alaska,Bus,,0
1901,Alaska,Truck,,0
1901,Alaska,Motorcycle,,0
1901,Arizona,Auto,,30
1901,Arizona,Bus,,0
1901,Arizona,Truck,,0
1901,Arizona,Motorcycle,,0
1901,Arkansas,Auto,,40
1901,Arkansas,Bus,,0
1901,Arkansas,Truck,,0
1901,Arkansas,Motorcycle,,0
1901,California,Auto,,1450
1901,California,Bus,,0
1901,California,Truck,,0
1901,California,Motorcycle,,0
1901,Colorado,Auto,,150
1901,Colorado,Bus,,0
1901,Colorado,Truck,,0
1901,Colorado,Motorcycle,,0
1901,Connecticut,Auto,,300
1901,Connecticut,Bus,,0
1901,Connecticut,Truck,,0
1901,Connecticut,Motorcycle,,0
1901,Delaware,Auto,,40
1901,Delaware,Bus,,0
1901,Delaware,Truck,,0
1901,Delaware,Motorcycle,,0
1901,District of Columbia,Auto,,190
1901,District of Columbia,Bus,,0
1901,District of Columbia,Truck,,0
1901,District of Columbia,Motorcycle,,0
1901,Florida,Auto,,20
1901,Florida,Bus,,0
1901,Florida,Truck,,0
1901,Florida,Motorcycle,,0
1901,Georgia,Auto,,150
1901,Georgia,Bus,,0
1901,Georgia,Truck,,0
1901,Georgia,Motorcycle,,0
1901,Hawaii,Auto,,0
1901,Hawaii,Bus,,0
1901,Hawaii,Truck,,0
1901,Hawaii,Motorcycle,,0
1901,Idaho,Auto,,10
1901,Idaho,Bus,,0
1901,Idaho,Truck,,0
1901,Idaho,Motorcycle,,0
1901,Illinois,Auto,,1120
1901,Illinois,Bus,,0
1901,Illinois,Truck,,0
