State,NAME,Year,Energy,value,INTPTLAT,INTPTLON
ND,North Dakota,2011,Wind,17864,47.442174,-100.4608258
NE,Nebraska,2011,Wind,3586,41.543305,-99.8118641
NH,New Hampshire,2011,Wind,226,43.6727945,-71.5841886
NJ,New Jersey,2011,Wind,36,40.1072744,-74.6652012
NM,New Mexico,2011,Wind,7181,34.4346844,-106.131618
NV,Nevada,2011,Wind,0,39.3310928,-116.6151469
NY,New York,2011,Wind,9649,42.9133974,-75.5962723
OH,Ohio,2011,Wind,677,40.4149297,-82.7119975
OK,Oklahoma,2011,Wind,19125,35.5900815,-97.4867789
OR,Oregon,2011,Wind,16294,43.9717125,-120.6229578
PA,Pennsylvania,2011,Wind,6123,40.9046042,-77.8275233
RI,Rhode Island,2011,Wind,10,41.596485,-71.5264901
SC,South Carolina,2011,Wind,0,33.8741776,-80.8542639
SD,South Dakota,2011,Wind,9104,44.4467957,-100.2381762
TN,Tennessee,2011,Wind,181,35.85846,-86.3496339
TX,Texas,2011,Wind,104230,31.4347032,-99.2818238
UT,Utah,2011,Wind,1954,39.3349925,-111.6563326
VA,Virginia,2011,Wind,0,37.5222512,-78.6681938
VT,Vermont,2011,Wind,113,44.0589536,-72.6710173
WA,Washington,2011,Wind,21367,47.4073238,-120.5757999
WI,Wisconsin,2011,Wind,4053,44.6309071,-89.7093916
WV,West Virginia,2011,Wind,3762,38.6472854,-80.6183274
WY,Wyoming,2011,Wind,15736,42.9896591,-107.5443922
AK,Alaska,2012,Wind,128,63.347356,-152.8397334
AL,Alabama,2012,Wind,0,32.7395785,-86.8434469
AR,Arkansas,2012,Wind,0,34.8955256,-92.4446262
AZ,Arizona,2012,Wind,1814,34.2039362,-111.6063449
CA,California,2012,Wind,33281,37.1551773,-119.5434183
CO,Colorado,2012,Wind,20365,38.9937669,-105.5087122
CT,Connecticut,2012,Wind,0,41.5798637,-72.7466572
DC,District of Columbia,2012,Wind,0,38.9042429,-77.0165243
DE,Delaware,2012,Wind,12,38.9985661,-75.441644
FL,Florida,2012,Wind,0,28.3989775,-82.5143005
GA,Georgia,2012,Wind,0,32.6295789,-83.4235109
HI,Hawaii,2012,Wind,1291,19.8281671,-155.4950421
IA,Iowa,2012,Wind,47879,42.0700227,-93.4933492
ID,Idaho,2012,Wind,6451,44.348422,-114.558854
IL,Illinois,2012,Wind,26364,40.1028754,-89.1526108
IN,Indiana,2012,Wind,10953,39.9013136,-86.2919129
KS,Kansas,2012,Wind,17726,38.4985464,-98.3834298
KY,Kentucky,2012,Wind,0,37.5336844,-85.2929801
LA,Louisiana,2012,Wind,0,30.708319,-91.6046207
MA,Massachusetts,2012,Wind,306,42.1565196,-71.4895915
MD,Maryland,2012,Wind,1098,38.9466584,-76.6744939
ME,Maine,2012,Wind,3026,45.4092843,-68.666616
MI,Michigan,2012,Wind,3861,44.8441768,-85.6604907
MN,Minnesota,2012,Wind,27897,46.3159573,-94.1996043
MO,Missouri,2012,Wind,4247,38.3507508,-92.456782
MS,Mississippi,2012,Wind,0,32.6864714,-89.6561377
MT,Montana,2012,Wind,4305,47.051177,-109.6348174
NC,North Carolina,2012,Wind,0,35.53971,-79.1308636
ND,North Dakota,2012,Wind,17997,47.442174,-100.4608258
NE,Nebraska,2012,Wind,4380,41.543305,-99.8118641
NH,New Hampshire,2012,Wind,712,43.6727945,-71.5841886
NJ,New Jersey,2012,Wind,39,40.1072744,-74.6652012
NM,New Mexico,2012,Wind,7594,34.4346844,-106.131618
NV,Nevada,2012,Wind,439,39.3310928,-116.6151469
NY,New York,2012,Wind,10207,42.9133974,-75.5962723
OH,Ohio,2012,Wind,3362,40.4149297,-82.7119975
OK,Oklahoma,2012,Wind,27834,35.5900815,-97.4867789
OR,Oregon,2012,Wind,21644,43.9717125,-120.6229578
PA,Pennsylvania,2012,Wind,7263,40.9046042,-77.8275233
RI,Rhode Island,2012,Wind,5,41.596485,-71.5264901
SC,South Carolina,2012,Wind,0,33.8741776,-80.8542639
SD,South Dakota,2012,Wind,8031,44.4467957,-100.2381762
TN,Tennessee,2012,Wind,162,35.85846,-86.3496339
TX,Texas,2012,Wind,109915,31.4347032,-99.2818238
UT,Utah,2012,Wind,2402,39.3349925,-111.6563326
VA,Virginia,2012,Wind,0,37.5222512,-78.6681938
VT,Vermont,2012,Wind,365,44.0589536,-72.6710173
WA,Washington,2012,Wind,22518,47.4073238,-120.5757999
WI,Wisconsin,2012,Wind,5314,44.6309071,-89.7093916
WV,West Virginia,2012,Wind,4388,38.6472854,-80.6183274
WY,Wyoming,2012,Wind,14907,42.9896591,-107.5443922
AK,Alaska,2013,Wind,496,63.347356,-152.8397334
AL,Alabama,2013,Wind,0,32.7395785,-86.8434469
AR,Arkansas,2013,Wind,0,34.8955256,-92.4446262
AZ,Arizona,2013,Wind,1535,34.2039362,-111.6063449
CA,California,2013,Wind,43749,37.1551773,-119.5434183
CO,Colorado,2013,Wind,24579,38.9937669,-105.5087122
CT,Connecticut,2013,Wind,0,41.5798637,-72.7466572
DC,District of Columbia,2013,Wind,0,38.9042429,-77.0165243
DE,Delaware,2013,Wind,15,38.9985661,-75.441644
FL,Florida,2013,Wind,0,28.3989775,-82.5143005
GA,Georgia,2013,Wind,0,32.6295789,-83.4235109
HI,Hawaii,2013,Wind,1717,19.8281671,-155.4950421
IA,Iowa,2013,Wind,53119,42.0700227,-93.4933492
ID,Idaho,2013,Wind,8394,44.348422,-114.558854
IL,Illinois,2013,Wind,32841,40.1028754,-89.1526108
IN,Indiana,2013,Wind,11877,39.9013136,-86.2919129
KS,Kansas,2013,Wind,32186,38.4985464,-98.3834298
KY,Kentucky,2013,Wind,0,37.5336844,-85.2929801
LA,Louisiana,2013,Wind,0,30.708319,-91.6046207
MA,Massachusetts,2013,Wind,699,42.1565196,-71.4895915
MD,Maryland,2013,Wind,1098,38.9466584,-76.6744939
ME,Maine,2013,Wind,3575,45.4092843,-68.666616
MI,Michigan,2013,Wind,9552,44.8441768,-85.6604907
MN,Minnesota,2013,Wind,28179,46.3159573,-94.1996043
MO,Missouri,2013,Wind,3981,38.3507508,-92.456782
MS,Mississippi,2013,Wind,0,32.6864714,-89.6561377
MT,Montana,2013,Wind,5987,47.051177,-109.6348174
NC,North Carolina,2013,Wind,0,35.53971,-79.1308636
ND,North Dakota,2013,Wind,18831,47.442174,-100.4608258
NE,Nebraska,2013,Wind,6148,41.543305,-99.8118641
NH,New Hampshire,2013,Wind,1328,43.6727945,-71.5841886
NJ,New Jersey,2013,Wind,37,40.1072744,-74.6652012
NM,New Mexico,2013,Wind,7484,34.4346844,-106.131618
NV,Nevada,2013,Wind,855,39.3310928,-116.6151469
NY,New York,2013,Wind,12077,42.9133974,-75.5962723
OH,Ohio,2013,Wind,3910,40.4149297,-82.7119975
OK,Oklahoma,2013,Wind,38086,35.5900815,-97.4867789
OR,Oregon,2013,Wind,25439,43.9717125,-120.6229578
PA,Pennsylvania,2013,Wind,11437,40.9046042,-77.8275233
RI,Rhode Island,2013,Wind,9,41.596485,-71.5264901
SC,South Carolina,2013,Wind,0,33.8741776,-80.8542639
SD,South Dakota,2013,Wind,9170,44.4467957,-100.2381762
TN,Tennessee,2013,Wind,159,35.85846,-86.3496339
TX,Texas,2013,Wind,122401,31.4347032,-99.2818238
UT,Utah,2013,Wind,1842,39.3349925,-111.6563326
VA,Virginia,2013,Wind,0,37.5222512,-78.6681938
VT,Vermont,2013,Wind,805,44.0589536,-72.6710173
WA,Washington,2013,Wind,23899,47.4073238,-120.5757999
WI,Wisconsin,2013,Wind,5316,44.6309071,-89.7093916
WV,West Virginia,2013,Wind,4731,38.6472854,-80.6183274
WY,Wyoming,2013,Wind,15126,42.9896591,-107.5443922
AK,Alaska,2014,Wind,518,63.347356,-152.8397334
AL,Alabama,2014,Wind,0,32.7395785,-86.8434469
AR,Arkansas,2014,Wind,0,34.8955256,-92.4446262
AZ,Arizona,2014,Wind,1597,34.2039362,-111.6063449
CA,California,2014,Wind,44330,37.1551773,-119.5434183
CO,Colorado,2014,Wind,25142,38.9937669,-105.5087122
CT,Connecticut,2014,Wind,0,41.5798637,-72.7466572
DC,District of Columbia,2014,Wind,0,38.9042429,-77.0165243
DE,Delaware,2014,Wind,17,38.9985661,-75.441644
FL,Florida,2014,Wind,0,28.3989775,-82.5143005
GA,Georgia,2014,Wind,0,32.6295789,-83.4235109
HI,Hawaii,2014,Wind,1974,19.8281671,-155.4950421
IA,Iowa,2014,Wind,55639,42.0700227,-93.4933492
ID,Idaho,2014,Wind,9573,44.348422,-114.558854
IL,Illinois,2014,Wind,34403,40.1028754,-89.1526108
IN,Indiana,2014,Wind,11928,39.9013136,-86.2919129
KS,Kansas,2014,Wind,37003,38.4985464,-98.3834298
KY,Kentucky,2014,Wind,0,37.5336844,-85.2929801
LA,Louisiana,2014,Wind,0,30.708319,-91.6046207
MA,Massachusetts,2014,Wind,768,42.1565196,-71.4895915
MD,Maryland,2014,Wind,1104,38.9466584,-76.6744939
ME,Maine,2014,Wind,3744,45.4092843,-68.666616
MI,Michigan,2014,Wind,13198,44.8441768,-85.6604907
MN,Minnesota,2014,Wind,33066,46.3159573,-94.1996043
MO,Missouri,2014,Wind,3859,38.3507508,-92.456782
MS,Mississippi,2014,Wind,0,32.6864714,-89.6561377
MT,Montana,2014,Wind,6735,47.051177,-109.6348174
NC,North Carolina,2014,Wind,0,35.53971,-79.1308636
ND,North Dakota,2014,Wind,21163,47.442174,-100.4608258
NE,Nebraska,2014,Wind,9338,41.543305,-99.8118641
NH,New Hampshire,2014,Wind,1404,43.6727945,-71.5841886
NJ,New Jersey,2014,Wind,78,40.1072744,-74.6652012
NM,New Mexico,2014,Wind,7761,34.4346844,-106.131618
NV,Nevada,2014,Wind,1024,39.3310928,-116.6151469
NY,New York,2014,Wind,13540,42.9133974,-75.5962723
OH,Ohio,2014,Wind,3935,40.4149297,-82.7119975
OK,Oklahoma,2014,Wind,40728,35.5900815,-97.4867789
OR,Oregon,2014,Wind,25779,43.9717125,-120.6229578
PA,Pennsylvania,2014,Wind,12163,40.9046042,-77.8275233
RI,Rhode Island,2014,Wind,34,41.596485,-71.5264901
SC,South Carolina,2014,Wind,0,33.8741776,-80.8542639
SD,South Dakota,2014,Wind,7971,44.4467957,-100.2381762
TN,Tennessee,2014,Wind,174,35.85846,-86.3496339
TX,Texas,2014,Wind,136497,31.4347032,-99.2818238
UT,Utah,2014,Wind,2252,39.3349925,-111.6563326
VA,Virginia,2014,Wind,0,37.5222512,-78.6681938
VT,Vermont,2014,Wind,1062,44.0589536,-72.6710173
WA,Washington,2014,Wind,24798,47.4073238,-120.5757999
WI,Wisconsin,2014,Wind,5521,44.6309071,-89.7093916
WV,West Virginia,2014,Wind,4952,38.6472854,-80.6183274
WY,Wyoming,2014,Wind,15032,42.9896591,-107.5443922
AK,Alaska,2015,Wind,545,63.347356,-152.8397334
AL,Alabama,2015,Wind,0,32.7395785,-86.8434469
AR,Arkansas,2015,Wind,0,34.8955256,-92.4446262
AZ,Arizona,2015,Wind,1542,34.2039362,-111.6063449
CA,California,2015,Wind,41727,37.1551773,-119.5434183
CO,Colorado,2015,Wind,25506,38.9937669,-105.5087122
CT,Connecticut,2015,Wind,0,41.5798637,-72.7466572
DC,District of Columbia,2015,Wind,0,38.9042429,-77.0165243
DE,Delaware,2015,Wind,17,38.9985661,-75.441644
FL,Florida,2015,Wind,0,28.3989775,-82.5143005
GA,Georgia,2015,Wind,0,32.6295789,-83.4235109
HI,Hawaii,2015,Wind,2091,19.8281671,-155.4950421
IA,Iowa,2015,Wind,60981,42.0700227,-93.4933492
ID,Idaho,2015,Wind,7746,44.348422,-114.558854
IL,Illinois,2015,Wind,36670,40.1028754,-89.1526108
IN,Indiana,2015,Wind,15406,39.9013136,-86.2919129
KS,Kansas,2015,Wind,37527,38.4985464,-98.3834298
KY,Kentucky,2015,Wind,0,37.5336844,-85.2929801
LA,Louisiana,2015,Wind,0,30.708319,-91.6046207
MA,Massachusetts,2015,Wind,732,42.1565196,-71.4895915
MD,Maryland,2015,Wind,1483,38.9466584,-76.6744939
ME,Maine,2015,Wind,4421,45.4092843,-68.666616
MI,Michigan,2015,Wind,16367,44.8441768,-85.6604907
MN,Minnesota,2015,Wind,33365,46.3159573,-94.1996043
MO,Missouri,2015,Wind,3525,38.3507508,-92.456782
MS,Mississippi,2015,Wind,0,32.6864714,-89.6561377
MT,Montana,2015,Wind,6704,47.051177,-109.6348174
NC,North Carolina,2015,Wind,0,35.53971,-79.1308636
ND,North Dakota,2015,Wind,22197,47.442174,-100.4608258
NE,Nebraska,2015,Wind,10852,41.543305,-99.8118641
NH,New Hampshire,2015,Wind,1445,43.6727945,-71.5841886
NJ,New Jersey,2015,Wind,73,40.1072744,-74.6652012
NM,New Mexico,2015,Wind,7131,34.4346844,-106.131618
NV,Nevada,2015,Wind,1057,39.3310928,-116.6151469
NY,New York,2015,Wind,13569,42.9133974,-75.5962723
OH,Ohio,2015,Wind,4105,40.4149297,-82.7119975
OK,Oklahoma,2015,Wind,47873,35.5900815,-97.4867789
OR,Oregon,2015,Wind,22627,43.9717125,-120.6229578
PA,Pennsylvania,2015,Wind,11439,40.9046042,-77.8275233
RI,Rhode Island,2015,Wind,34,41.596485,-71.5264901
SC,South Carolina,2015,Wind,0,33.8741776,-80.8542639
SD,South Dakota,2015,Wind,8522,44.4467957,-100.2381762
TN,Tennessee,2015,Wind,156,35.85846,-86.3496339
TX,Texas,2015,Wind,152971,31.4347032,-99.2818238
UT,Utah,2015,Wind,2136,39.3349925,-111.6563326
VA,Virginia,2015,Wind,0,37.5222512,-78.6681938
VT,Vermont,2015,Wind,1110,44.0589536,-72.6710173
WA,Washington,2015,Wind,24141,47.4073238,-120.5757999
WI,Wisconsin,2015,Wind,5423,44.6309071,-89.7093916
WV,West Virginia,2015,Wind,4696,38.6472854,-80.6183274
WY,Wyoming,2015,Wind,12818,42.9896591,-107.5443922
AK,Alaska,2016,Wind,578,63.347356,-152.8397334
AL,Alabama,2016,Wind,0,32.7395785,-86.8434469
AR,Arkansas,2016,Wind,0,34.8955256,-92.4446262
AZ,Arizona,2016,Wind,1848,34.2039362,-111.6063449
CA,California,2016,Wind,46093,37.1551773,-119.5434183
CO,Colorado,2016,Wind,32145,38.9937669,-105.5087122
CT,Connecticut,2016,Wind,43,41.5798637,-72.7466572
DC,District of Columbia,2016,Wind,0,38.9042429,-77.0165243
DE,Delaware,2016,Wind,18,38.9985661,-75.441644
FL,Florida,2016,Wind,0,28.3989775,-82.5143005
GA,Georgia,2016,Wind,0,32.6295789,-83.4235109
HI,Hawaii,2016,Wind,2181,19.8281671,-155.4950421
IA,Iowa,2016,Wind,68486,42.0700227,-93.4933492
ID,Idaho,2016,Wind,8798,44.348422,-114.558854
IL,Illinois,2016,Wind,36384,40.1028754,-89.1526108
IN,Indiana,2016,Wind,16717,39.9013136,-86.2919129
KS,Kansas,2016,Wind,48146,38.4985464,-98.3834298
KY,Kentucky,2016,Wind,0,37.5336844,-85.2929801
LA,Louisiana,2016,Wind,0,30.708319,-91.6046207
MA,Massachusetts,2016,Wind,737,42.1565196,-71.4895915
MD,Maryland,2016,Wind,1799,38.9466584,-76.6744939
ME,Maine,2016,Wind,5688,45.4092843,-68.666616
MI,Michigan,2016,Wind,16022,44.8441768,-85.6604907
MN,Minnesota,2016,Wind,33893,46.3159573,-94.1996043
MO,Missouri,2016,Wind,3828,38.3507508,-92.456782
MS,Mississippi,2016,Wind,0,32.6864714,-89.6561377
MT,Montana,2016,Wind,7302,47.051177,-109.6348174
NC,North Carolina,2016,Wind,21,35.53971,-79.1308636
ND,North Dakota,2016,Wind,27883,47.442174,-100.4608258
NE,Nebraska,2016,Wind,12960,41.543305,-99.8118641
NH,New Hampshire,2016,Wind,1475,43.6727945,-71.5841886
NJ,New Jersey,2016,Wind,71,40.1072744,-74.6652012
NM,New Mexico,2016,Wind,12302,34.4346844,-106.131618
NV,Nevada,2016,Wind,1173,39.3310928,-116.6151469
NY,New York,2016,Wind,13444,42.9133974,-75.5962723
OH,Ohio,2016,Wind,4249,40.4149297,-82.7119975
OK,Oklahoma,2016,Wind,68476,35.5900815,-97.4867789
OR,Oregon,2016,Wind,24420,43.9717125,-120.6229578
PA,Pennsylvania,2016,Wind,11861,40.9046042,-77.8275233
RI,Rhode Island,2016,Wind,91,41.596485,-71.5264901
SC,South Carolina,2016,Wind,0,33.8741776,-80.8542639
SD,South Dakota,2016,Wind,12673,44.4467957,-100.2381762
TN,Tennessee,2016,Wind,129,35.85846,-86.3496339
TX,Texas,2016,Wind,196295,31.4347032,-99.2818238
UT,Utah,2016,Wind,2806,39.3349925,-111.6563326
VA,Virginia,2016,Wind,0,37.5222512,-78.6681938
VT,Vermont,2016,Wind,994,44.0589536,-72.6710173
WA,Washington,2016,Wind,27439,47.4073238,-120.5757999
WI,Wisconsin,2016,Wind,5170,44.6309071,-89.7093916
WV,West Virginia,2016,Wind,4887,38.6472854,-80.6183274
WY,Wyoming,2016,Wind,14976,42.9896591,-107.5443922
AK,Alaska,2017,Wind,483,63.347356,-152.8397334
AL,Alabama,2017,Wind,0,32.7395785,-86.8434469
AR,Arkansas,2017,Wind,0,34.8955256,-92.4446262
AZ,Arizona,2017,Wind,1945,34.2039362,-111.6063449
CA,California,2017,Wind,43752,37.1551773,-119.5434183
CO,Colorado,2017,Wind,31782,38.9937669,-105.5087122
CT,Connecticut,2017,Wind,43,41.5798637,-72.7466572
DC,District of Columbia,2017,Wind,0,38.9042429,-77.0165243
DE,Delaware,2017,Wind,17,38.9985661,-75.441644
FL,Florida,2017,Wind,0,28.3989775,-82.5143005
GA,Georgia,2017,Wind,0,32.6295789,-83.4235109
HI,Hawaii,2017,Wind,1815,19.8281671,-155.4950421
IA,Iowa,2017,Wind,72924,42.0700227,-93.4933492
ID,Idaho,2017,Wind,8682,44.348422,-114.558854
IL,Illinois,2017,Wind,41858,40.1028754,-89.1526108
IN,Indiana,2017,Wind,17365,39.9013136,-86.2919129
KS,Kansas,2017,Wind,63457,38.4985464,-98.3834298
KY,Kentucky,2017,Wind,0,37.5336844,-85.2929801
LA,Louisiana,2017,Wind,0,30.708319,-91.6046207
MA,Massachusetts,2017,Wind,794,42.1565196,-71.4895915
MD,Maryland,2017,Wind,1915,38.9466584,-76.6744939
ME,Maine,2017,Wind,7960,45.4092843,-68.666616
MI,Michigan,2017,Wind,17713,44.8441768,-85.6604907
MN,Minnesota,2017,Wind,38000,46.3159573,-94.1996043
MO,Missouri,2017,Wind,6934,38.3507508,-92.456782
MS,Mississippi,2017,Wind,0,32.6864714,-89.6561377
MT,Montana,2017,Wind,7352,47.051177,-109.6348174
NC,North Carolina,2017,Wind,1606,35.53971,-79.1308636
ND,North Dakota,2017,Wind,38758,47.442174,-100.4608258
NE,Nebraska,2017,Wind,17347,41.543305,-99.8118641
NH,New Hampshire,2017,Wind,1404,43.6727945,-71.5841886
NJ,New Jersey,2017,Wind,77,40.1072744,-74.6652012
NM,New Mexico,2017,Wind,15677,34.4346844,-106.131618
NV,Nevada,2017,Wind,1233,39.3310928,-116.6151469
NY,New York,2017,Wind,14112,42.9133974,-75.5962723
OH,Ohio,2017,Wind,5420,40.4149297,-82.7119975
OK,Oklahoma,2017,Wind,80519,35.5900815,-97.4867789
OR,Oregon,2017,Wind,21245,43.9717125,-120.6229578
PA,Pennsylvania,2017,Wind,12251,40.9046042,-77.8275233
RI,Rhode Island,2017,Wind,508,41.596485,-71.5264901
SC,South Carolina,2017,Wind,0,33.8741776,-80.8542639
SD,South Dakota,2017,Wind,10094,44.4467957,-100.2381762
TN,Tennessee,2017,Wind,148,35.85846,-86.3496339
TX,Texas,2017,Wind,228812,31.4347032,-99.2818238
UT,Utah,2017,Wind,2928,39.3349925,-111.6563326
VA,Virginia,2017,Wind,0,37.5222512,-78.6681938
VT,Vermont,2017,Wind,1042,44.0589536,-72.6710173
WA,Washington,2017,Wind,23629,47.4073238,-120.5757999
WI,Wisconsin,2017,Wind,5598,44.6309071,-89.7093916
WV,West Virginia,2017,Wind,5740,38.6472854,-80.6183274
WY,Wyoming,2017,Wind,14742,42.9896591,-107.5443922
AK,Alaska,2018,Wind,529,63.347356,-152.8397334
AL,Alabama,2018,Wind,0,32.7395785,-86.8434469
AR,Arkansas,2018,Wind,0,34.8955256,-92.4446262
AZ,Arizona,2018,Wind,1809,34.2039362,-111.6063449
CA,California,2018,Wind,47850,37.1551773,-119.5434183
CO,Colorado,2018,Wind,33250,38.9937669,-105.5087122
CT,Connecticut,2018,Wind,42,41.5798637,-72.7466572
DC,District of Columbia,2018,Wind,0,38.9042429,-77.0165243
DE,Delaware,2018,Wind,18,38.9985661,-75.441644
FL,Florida,2018,Wind,0,28.3989775,-82.5143005
GA,Georgia,2018,Wind,0,32.6295789,-83.4235109
HI,Hawaii,2018,Wind,2054,19.8281671,-155.4950421
IA,Iowa,2018,Wind,72792,42.0700227,-93.4933492
ID,Idaho,2018,Wind,9059,44.348422,-114.558854
IL,Illinois,2018,Wind,40599,40.1028754,-89.1526108
IN,Indiana,2018,Wind,18552,39.9013136,-86.2919129
KS,Kansas,2018,Wind,64512,38.4985464,-98.3834298
KY,Kentucky,2018,Wind,0,37.5336844,-85.2929801
LA,Louisiana,2018,Wind,0,30.708319,-91.6046207
MA,Massachusetts,2018,Wind,754,42.1565196,-71.4895915
MD,Maryland,2018,Wind,1945,38.9466584,-76.6744939
ME,Maine,2018,Wind,8135,45.4092843,-68.666616
MI,Michigan,2018,Wind,18620,44.8441768,-85.6604907
MN,Minnesota,2018,Wind,36555,46.3159573,-94.1996043
MO,Missouri,2018,Wind,9672,38.3507508,-92.456782
MS,Mississippi,2018,Wind,0,32.6864714,-89.6561377
MT,Montana,2018,Wind,7347,47.051177,-109.6348174
NC,North Carolina,2018,Wind,1852,35.53971,-79.1308636
ND,North Dakota,2018,Wind,36621,47.442174,-100.4608258
NE,Nebraska,2018,Wind,18934,41.543305,-99.8118641
NH,New Hampshire,2018,Wind,1388,43.6727945,-71.5841886
NJ,New Jersey,2018,Wind,77,40.1072744,-74.6652012
NM,New Mexico,2018,Wind,20784,34.4346844,-106.131618
NV,Nevada,2018,Wind,1066,39.3310928,-116.6151469
NY,New York,2018,Wind,13642,42.9133974,-75.5962723
OH,Ohio,2018,Wind,5971,40.4149297,-82.7119975
OK,Oklahoma,2018,Wind,93278,35.5900815,-97.4867789
OR,Oregon,2018,Wind,25411,43.9717125,-120.6229578
PA,Pennsylvania,2018,Wind,12170,40.9046042,-77.8275233
RI,Rhode Island,2018,Wind,541,41.596485,-71.5264901
SC,South Carolina,2018,Wind,0,33.8741776,-80.8542639
SD,South Dakota,2018,Wind,9673,44.4467957,-100.2381762
TN,Tennessee,2018,Wind,140,35.85846,-86.3496339
TX,Texas,2018,Wind,258290,31.4347032,-99.2818238
UT,Utah,2018,Wind,2711,39.3349925,-111.6563326
VA,Virginia,2018,Wind,0,37.5222512,-78.6681938
VT,Vermont,2018,Wind,1274,44.0589536,-72.6710173
WA,Washington,2018,Wind,26955,47.4073238,-120.5757999
WI,Wisconsin,2018,Wind,5588,44.6309071,-89.7093916
WV,West Virginia,2018,Wind,6039,38.6472854,-80.6183274
WY,Wyoming,2018,Wind,13843,42.9896591,-107.5443922
AK,Alaska,2019,Wind,487,63.347356,-152.8397334
AL,Alabama,2019,Wind,0,32.7395785,-86.8434469
AR,Arkansas,2019,Wind,0,34.8955256,-92.4446262
AZ,Arizona,2019,Wind,1892,34.2039362,-111.6063449
CA,California,2019,Wind,46864,37.1551773,-119.5434183
CO,Colorado,2019,Wind,37028,38.9937669,-105.5087122
CT,Connecticut,2019,Wind,42,41.5798637,-72.7466572
DC,District of Columbia,2019,Wind,0,38.9042429,-77.0165243
DE,Delaware,2019,Wind,18,38.9985661,-75.441644
FL,Florida,2019,Wind,0,28.3989775,-82.5143005
GA,Georgia,2019,Wind,0,32.6295789,-83.4235109
HI,Hawaii,2019,Wind,1806,19.8281671,-155.4950421
IA,Iowa,2019,Wind,89753,42.0700227,-93.4933492
ID,Idaho,2019,Wind,8703,44.348422,-114.558854
IL,Illinois,2019,Wind,49336,40.1028754,-89.1526108
IN,Indiana,2019,Wind,21209,39.9013136,-86.2919129
KS,Kansas,2019,Wind,72074,38.4985464,-98.3834298
KY,Kentucky,2019,Wind,0,37.5336844,-85.2929801
LA,Louisiana,2019,Wind,0,30.708319,-91.6046207
MA,Massachusetts,2019,Wind,719,42.1565196,-71.4895915
MD,Maryland,2019,Wind,1775,38.9466584,-76.6744939
ME,Maine,2019,Wind,8509,45.4092843,-68.666616
MI,Michigan,2019,Wind,19877,44.8441768,-85.6604907
MN,Minnesota,2019,Wind,37412,46.3159573,-94.1996043
MO,Missouri,2019,Wind,9751,38.3507508,-92.456782
MS,Mississippi,2019,Wind,0,32.6864714,-89.6561377
MT,Montana,2019,Wind,8098,47.051177,-109.6348174
NC,North Carolina,2019,Wind,1785,35.53971,-79.1308636
ND,North Dakota,2019,Wind,38259,47.442174,-100.4608258
NE,Nebraska,2019,Wind,24604,41.543305,-99.8118641
NH,New Hampshire,2019,Wind,1479,43.6727945,-71.5841886
NJ,New Jersey,2019,Wind,75,40.1072744,-74.6652012
NM,New Mexico,2019,Wind,23516,34.4346844,-106.131618
NV,Nevada,2019,Wind,1124,39.3310928,-116.6151469
NY,New York,2019,Wind,15203,42.9133974,-75.5962723
OH,Ohio,2019,Wind,6970,40.4149297,-82.7119975
OK,Oklahoma,2019,Wind,98976,35.5900815,-97.4867789
OR,Oregon,2019,Wind,22413,43.9717125,-120.6229578
PA,Pennsylvania,2019,Wind,11091,40.9046042,-77.8275233
RI,Rhode Island,2019,Wind,704,41.596485,-71.5264901
SC,South Carolina,2019,Wind,0,33.8741776,-80.8542639
SD,South Dakota,2019,Wind,9517,44.4467957,-100.2381762
TN,Tennessee,2019,Wind,130,35.85846,-86.3496339
TX,Texas,2019,Wind,285313,31.4347032,-99.2818238
UT,Utah,2019,Wind,2793,39.3349925,-111.6563326
VA,Virginia,2019,Wind,0,37.5222512,-78.6681938
VT,Vermont,2019,Wind,1288,44.0589536,-72.6710173
WA,Washington,2019,Wind,22783,47.4073238,-120.5757999
WI,Wisconsin,2019,Wind,6407,44.6309071,-89.7093916
WV,West Virginia,2019,Wind,5565,38.6472854,-80.6183274
WY,Wyoming,2019,Wind,14204,42.9896591,-107.5443922
AK,Alaska,2020,Wind,439,63.347356,-152.8397334
AL,Alabama,2020,Wind,0,32.7395785,-86.8434469
AR,Arkansas,2020,Wind,0,34.8955256,-92.4446262
AZ,Arizona,2020,Wind,2198,34.2039362,-111.6063449
CA,California,2020,Wind,46345,37.1551773,-119.5434183
CO,Colorado,2020,Wind,45674,38.9937669,-105.5087122
CT,Connecticut,2020,Wind,42,41.5798637,-72.7466572
DC,District of Columbia,2020,Wind,0,38.9042429,-77.0165243
DE,Delaware,2020,Wind,18,38.9985661,-75.441644
FL,Florida,2020,Wind,0,28.3989775,-82.5143005
GA,Georgia,2020,Wind,0,32.6295789,-83.4235109
HI,Hawaii,2020,Wind,2021,19.8281671,-155.4950421
IA,Iowa,2020,Wind,116630,42.0700227,-93.4933492
ID,Idaho,2020,Wind,9453,44.348422,-114.558854
IL,Illinois,2020,Wind,55363,40.1028754,-89.1526108
IN,Indiana,2020,Wind,21453,39.9013136,-86.2919129
KS,Kansas,2020,Wind,81764,38.4985464,-98.3834298
KY,Kentucky,2020,Wind,0,37.5336844,-85.2929801
LA,Louisiana,2020,Wind,0,30.708319,-91.6046207
MA,Massachusetts,2020,Wind,813,42.1565196,-71.4895915
MD,Maryland,2020,Wind,1862,38.9466584,-76.6744939
ME,Maine,2020,Wind,8172,45.4092843,-68.666616
