State,NAME,Year,Energy,value,INTPTLAT,INTPTLON
AR,Arkansas,2004,Solar,239,34.8955256,-92.4446262
AZ,Arizona,2004,Solar,2632,34.2039362,-111.6063449
CA,California,2004,Solar,17238,37.1551773,-119.5434183
CO,Colorado,2004,Solar,182,38.9937669,-105.5087122
CT,Connecticut,2004,Solar,450,41.5798637,-72.7466572
DC,District of Columbia,2004,Solar,2,38.9042429,-77.0165243
DE,Delaware,2004,Solar,8,38.9985661,-75.441644
FL,Florida,2004,Solar,23956,28.3989775,-82.5143005
GA,Georgia,2004,Solar,234,32.6295789,-83.4235109
HI,Hawaii,2004,Solar,1263,19.8281671,-155.4950421
IA,Iowa,2004,Solar,4,42.0700227,-93.4933492
ID,Idaho,2004,Solar,3,44.348422,-114.558854
IL,Illinois,2004,Solar,511,40.1028754,-89.1526108
IN,Indiana,2004,Solar,63,39.9013136,-86.2919129
KS,Kansas,2004,Solar,15,38.4985464,-98.3834298
KY,Kentucky,2004,Solar,30,37.5336844,-85.2929801
LA,Louisiana,2004,Solar,65,30.708319,-91.6046207
MA,Massachusetts,2004,Solar,170,42.1565196,-71.4895915
MD,Maryland,2004,Solar,62,38.9466584,-76.6744939
ME,Maine,2004,Solar,96,45.4092843,-68.666616
MI,Michigan,2004,Solar,223,44.8441768,-85.6604907
MN,Minnesota,2004,Solar,171,46.3159573,-94.1996043
MO,Missouri,2004,Solar,46,38.3507508,-92.456782
MS,Mississippi,2004,Solar,9,32.6864714,-89.6561377
MT,Montana,2004,Solar,3,47.051177,-109.6348174
NC,North Carolina,2004,Solar,87,35.53971,-79.1308636
ND,North Dakota,2004,Solar,1,47.442174,-100.4608258
NE,Nebraska,2004,Solar,11,41.543305,-99.8118641
NH,New Hampshire,2004,Solar,36,43.6727945,-71.5841886
NJ,New Jersey,2004,Solar,1250,40.1072744,-74.6652012
NM,New Mexico,2004,Solar,239,34.4346844,-106.131618
NV,Nevada,2004,Solar,591,39.3310928,-116.6151469
NY,New York,2004,Solar,631,42.9133974,-75.5962723
OH,Ohio,2004,Solar,145,40.4149297,-82.7119975
OK,Oklahoma,2004,Solar,27,35.5900815,-97.4867789
OR,Oregon,2004,Solar,673,43.9717125,-120.6229578
PA,Pennsylvania,2004,Solar,399,40.9046042,-77.8275233
RI,Rhode Island,2004,Solar,20,41.596485,-71.5264901
SC,South Carolina,2004,Solar,20,33.8741776,-80.8542639
SD,South Dakota,2004,Solar,3,44.4467957,-100.2381762
TN,Tennessee,2004,Solar,32,35.85846,-86.3496339
TX,Texas,2004,Solar,506,31.4347032,-99.2818238
UT,Utah,2004,Solar,36,39.3349925,-111.6563326
VA,Virginia,2004,Solar,209,37.5222512,-78.6681938
VT,Vermont,2004,Solar,36,44.0589536,-72.6710173
WA,Washington,2004,Solar,155,47.4073238,-120.5757999
WI,Wisconsin,2004,Solar,150,44.6309071,-89.7093916
WV,West Virginia,2004,Solar,38,38.6472854,-80.6183274
WY,Wyoming,2004,Solar,2,42.9896591,-107.5443922
AK,Alaska,2005,Solar,0,63.347356,-152.8397334
AL,Alabama,2005,Solar,53,32.7395785,-86.8434469
AR,Arkansas,2005,Solar,90,34.8955256,-92.4446262
AZ,Arizona,2005,Solar,2467,34.2039362,-111.6063449
CA,California,2005,Solar,16771,37.1551773,-119.5434183
CO,Colorado,2005,Solar,189,38.9937669,-105.5087122
CT,Connecticut,2005,Solar,549,41.5798637,-72.7466572
DC,District of Columbia,2005,Solar,2,38.9042429,-77.0165243
DE,Delaware,2005,Solar,5,38.9985661,-75.441644
FL,Florida,2005,Solar,22914,28.3989775,-82.5143005
GA,Georgia,2005,Solar,237,32.6295789,-83.4235109
HI,Hawaii,2005,Solar,1286,19.8281671,-155.4950421
IA,Iowa,2005,Solar,8,42.0700227,-93.4933492
ID,Idaho,2005,Solar,8,44.348422,-114.558854
IL,Illinois,2005,Solar,657,40.1028754,-89.1526108
IN,Indiana,2005,Solar,78,39.9013136,-86.2919129
KS,Kansas,2005,Solar,17,38.4985464,-98.3834298
KY,Kentucky,2005,Solar,35,37.5336844,-85.2929801
LA,Louisiana,2005,Solar,65,30.708319,-91.6046207
MA,Massachusetts,2005,Solar,177,42.1565196,-71.4895915
MD,Maryland,2005,Solar,65,38.9466584,-76.6744939
ME,Maine,2005,Solar,97,45.4092843,-68.666616
MI,Michigan,2005,Solar,273,44.8441768,-85.6604907
MN,Minnesota,2005,Solar,140,46.3159573,-94.1996043
MO,Missouri,2005,Solar,33,38.3507508,-92.456782
MS,Mississippi,2005,Solar,9,32.6864714,-89.6561377
MT,Montana,2005,Solar,3,47.051177,-109.6348174
NC,North Carolina,2005,Solar,114,35.53971,-79.1308636
ND,North Dakota,2005,Solar,2,47.442174,-100.4608258
NE,Nebraska,2005,Solar,15,41.543305,-99.8118641
NH,New Hampshire,2005,Solar,40,43.6727945,-71.5841886
NJ,New Jersey,2005,Solar,1387,40.1072744,-74.6652012
NM,New Mexico,2005,Solar,177,34.4346844,-106.131618
NV,Nevada,2005,Solar,682,39.3310928,-116.6151469
NY,New York,2005,Solar,775,42.9133974,-75.5962723
OH,Ohio,2005,Solar,155,40.4149297,-82.7119975
OK,Oklahoma,2005,Solar,21,35.5900815,-97.4867789
OR,Oregon,2005,Solar,732,43.9717125,-120.6229578
PA,Pennsylvania,2005,Solar,423,40.9046042,-77.8275233
RI,Rhode Island,2005,Solar,22,41.596485,-71.5264901
SC,South Carolina,2005,Solar,19,33.8741776,-80.8542639
SD,South Dakota,2005,Solar,3,44.4467957,-100.2381762
TN,Tennessee,2005,Solar,26,35.85846,-86.3496339
TX,Texas,2005,Solar,484,31.4347032,-99.2818238
UT,Utah,2005,Solar,33,39.3349925,-111.6563326
VA,Virginia,2005,Solar,266,37.5222512,-78.6681938
VT,Vermont,2005,Solar,40,44.0589536,-72.6710173
WA,Washington,2005,Solar,116,47.4073238,-120.5757999
WI,Wisconsin,2005,Solar,137,44.6309071,-89.7093916
WV,West Virginia,2005,Solar,38,38.6472854,-80.6183274
WY,Wyoming,2005,Solar,2,42.9896591,-107.5443922
AK,Alaska,2006,Solar,0,63.347356,-152.8397334
AL,Alabama,2006,Solar,62,32.7395785,-86.8434469
AR,Arkansas,2006,Solar,94,34.8955256,-92.4446262
AZ,Arizona,2006,Solar,2544,34.2039362,-111.6063449
CA,California,2006,Solar,17543,37.1551773,-119.5434183
CO,Colorado,2006,Solar,210,38.9937669,-105.5087122
CT,Connecticut,2006,Solar,646,41.5798637,-72.7466572
DC,District of Columbia,2006,Solar,5,38.9042429,-77.0165243
DE,Delaware,2006,Solar,8,38.9985661,-75.441644
FL,Florida,2006,Solar,22983,28.3989775,-82.5143005
GA,Georgia,2006,Solar,241,32.6295789,-83.4235109
HI,Hawaii,2006,Solar,1351,19.8281671,-155.4950421
IA,Iowa,2006,Solar,14,42.0700227,-93.4933492
ID,Idaho,2006,Solar,13,44.348422,-114.558854
IL,Illinois,2006,Solar,800,40.1028754,-89.1526108
IN,Indiana,2006,Solar,91,39.9013136,-86.2919129
KS,Kansas,2006,Solar,21,38.4985464,-98.3834298
KY,Kentucky,2006,Solar,39,37.5336844,-85.2929801
LA,Louisiana,2006,Solar,67,30.708319,-91.6046207
MA,Massachusetts,2006,Solar,194,42.1565196,-71.4895915
MD,Maryland,2006,Solar,70,38.9466584,-76.6744939
ME,Maine,2006,Solar,109,45.4092843,-68.666616
MI,Michigan,2006,Solar,334,44.8441768,-85.6604907
MN,Minnesota,2006,Solar,144,46.3159573,-94.1996043
MO,Missouri,2006,Solar,30,38.3507508,-92.456782
MS,Mississippi,2006,Solar,9,32.6864714,-89.6561377
MT,Montana,2006,Solar,6,47.051177,-109.6348174
NC,North Carolina,2006,Solar,157,35.53971,-79.1308636
ND,North Dakota,2006,Solar,3,47.442174,-100.4608258
NE,Nebraska,2006,Solar,20,41.543305,-99.8118641
NH,New Hampshire,2006,Solar,45,43.6727945,-71.5841886
NJ,New Jersey,2006,Solar,1569,40.1072744,-74.6652012
NM,New Mexico,2006,Solar,173,34.4346844,-106.131618
NV,Nevada,2006,Solar,774,39.3310928,-116.6151469
NY,New York,2006,Solar,937,42.9133974,-75.5962723
OH,Ohio,2006,Solar,164,40.4149297,-82.7119975
OK,Oklahoma,2006,Solar,20,35.5900815,-97.4867789
OR,Oregon,2006,Solar,859,43.9717125,-120.6229578
PA,Pennsylvania,2006,Solar,482,40.9046042,-77.8275233
RI,Rhode Island,2006,Solar,34,41.596485,-71.5264901
SC,South Carolina,2006,Solar,18,33.8741776,-80.8542639
SD,South Dakota,2006,Solar,4,44.4467957,-100.2381762
TN,Tennessee,2006,Solar,26,35.85846,-86.3496339
TX,Texas,2006,Solar,478,31.4347032,-99.2818238
UT,Utah,2006,Solar,33,39.3349925,-111.6563326
VA,Virginia,2006,Solar,328,37.5222512,-78.6681938
VT,Vermont,2006,Solar,47,44.0589536,-72.6710173
WA,Washington,2006,Solar,109,47.4073238,-120.5757999
WI,Wisconsin,2006,Solar,144,44.6309071,-89.7093916
